Model,Accuracy,Precision,Recall,F1_Score,CV_Score,Is_Best_Model
SVM,0.9440104166666666,0.9418210998062015,0.9440104166666666,0.9408558710659461,0.967920740722113,1
LogisticRegression,0.9401041666666666,0.9373318578302401,0.9401041666666666,0.9370499800876145,0.9686036968582237,0
RandomForest,0.9388020833333334,0.9362204961464355,0.9388020833333334,0.9346740822681089,0.9653871858547804,0
DecisionTree,0.9264322916666666,0.9218285537252652,0.9264322916666666,0.9213647852887554,0.9572467010581984,0
KNN,0.9205729166666666,0.9150021232633607,0.9205729166666666,0.9152152982628646,0.9542224705163227,0
