Model,Accuracy,Precision,Recall,F1_Score,CV_Score,Is_Best_Model
SVM,0.9420572916666666,0.9395793807641634,0.9420572916666666,0.938870929821026,0.9682479810629774,1
RandomForest,0.94140625,0.9391286625819909,0.94140625,0.9376197732971806,0.9645918958893714,0
LogisticRegression,0.939453125,0.9366117866925233,0.939453125,0.9362855151980249,0.9684184031289058,0
DecisionTree,0.9225260416666666,0.9172894543452473,0.9225260416666666,0.917410170697473,0.957497695876237,0
KNN,0.9140625,0.9073079658605975,0.9140625,0.9053725170221146,0.9528218910513049,0
